,,,,,,,,
,,,,,,,,
,Success rates,,,,,,,
,,Placement Test,,ACT/SAT,,,,
,Course,ABC,AB,ABC,AB,,,
,Calculus I,81.82%,54.55%,88.10%,73.80%,,,
,Pre-Calculus,81.54%,28.57%,79.30%,54.90%,,,
,College Algebra  ,81.54%,64.62%,73.10%,57.20%,,,
,Cryptology,81.82%,63.64%,83.50%,65.10%,,,
,IntroSolvSkills,90.00%,65.00%,86.10%,58.40%,,,
,Math for Liberal Arts,100.00%,73.68%,81.80%,59.30%,,,
,College Algebra W/review,47.06%,47.06%,54.40%,40.00%,,,
,Number Sense,28.57%,14.29%,82.00%,64.80%,,,
,,,,,,,,
,,,,,,,,
,Overall success rate ,79.29%,58.58%,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
MPI,,,GPA,,,,,
ABC,AB,,ABC,AB,,,,
83.33%,50.00%,,83.33%,50.00%,,,,
87.50%,25.00%,,87.50%,25.00%,,,,
81.82%,65.15%,,81.82%,65.15%,,,,
81.82%,63.64%,,81.82%,63.64%,,,,
90.00%,65.00%,,90.00%,65.00%,,,,
100.00%,73.68%,,100.00%,73.68%,,,,
